skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	item proc text	item proc descline count	*eol
battle orders	3	4	2	3	46		skillname149	skillsd149	skillld149	skillan149																	1	StrSkill3				36	StrSkill20		len	25	74	StrSkill101	StrSkill23	ast1		74	StrSkill100	StrSkill23	ast2																																40	Sksyn	skillname149	2		76	Hpplev	skillname130	par7		76	Hpplev	skillname137	par7		76	Manaplev	skillname130	par7		76	Manaplev	skillname137	par7		76	Secplev2	skillname146	par8/25		76	Secplev2	skillname155	par8/25									0
grim ward	1	1	2	1	64		skillname150	skillsd150	skillld150	skillan150	5												1				1	StrSkill3		10		75	StrSkill39		edmn	edmx	74	StrSkill10	StrSkill23	toht		9																																			40	Sksyn	skillname150	2		76	Magdplev	skillname140	par8		76	Magdplev	Skillname383	par8		76	Magdplev	skillname152	par8		76	Magdplev	Skillname384	par8																			0
whirlwind	1	6	1	1	50		skillname151	skillsd151	skillld151	skillan151	1	clc1											1				1	StrSkill3				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																																					40	Sksyn	skillname151	2		76	Damplev	skillname143	par8		76	Damplev	skillname147	par8		76	Damplev	skillname152	par8		76	AttRateplev	skillname144	par7																			0
berserk	1	5	3	1	52		skillname152	skillsd152	skillld152	skillan152	7	clc1											2				36	StrSkill20		len	25	74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																	1	StrSkill3				74	StrSkill21	StrSkill23	ast2		18	StrSkill206				74	WeapDamsk		125		40	Sksyn	skillname152	2		76	Damplev	skillname139	par8		76	Damplev	skillname144	par8		76	Damplev	skillname126	par8		76	AttRateplev	skillname144	par7		76	Defplev	skillname138	par6		76	Defplev	skillname145	par6		1							0
natural resistance	2	6	2	2	54		skillname153	skillsd153	skillld153	skillan153																	74	StrSkill198	StrSkill23	pst5		74	StrSkill54	StrSkill23	pst2																																																																																				0
war cry	3	5	1	3	56		skillname154	skillsd154	skillld154	skillan154	5																1	StrSkill3				74	StrSkill48		ln12/25		75	StrSkill4		pnma	pxma	75	StrSkill39		edmn	edmx	11																														40	Sksyn	skillname154	2		76	Damplev	skillname130	par8		76	Damplev	skillname137	par8		76	Damplev	skillname146	par8		76	Damplev	Skillname385	par8																			0
battle command	3	5	2	3	58		skillname155	skillsd155	skillld155	skillan155																	36	StrSkill20		len	25	4	StrSkill121		ast1																						1	StrSkill3				18	StrSkill204														40	Sksyn	skillname155	2		76	Secplev2	skillname146	par8/25		76	Secplev2	skillname149	par8/25																						1							0
scroll of identify	0	0	0	4	14		skillname217	skillsd217	skillld217	skillan217																	53	isc																																																																																											0
book of identify	0	0	0	4	14		skillname218	skillsd218	skillld218	skillan218																	55	ibk																																																																																											0
scroll of townportal	0	0	0	4	18		skillname219	skillsd219	skillld219	skillan219																	54	tsc																																																																																											0
book of townportal	0	0	0	4	18		skillname220	skillsd220	skillld220	skillan220																	56	tbk																																																																																											0
raven	1	1	2	1	0		Skillname222	Skillsd222	Skillld222cb	Skillan222																	74	StrSkill11		ln56		10					9					5	ESkillHawk		pets												1	StrSkill3				74	StrSkill154	StrSkill23	pst1												40	Sksyn	Skillname222	2		25	Skillname228	CBp10lev			25	Skillname238	CBp10lev			76	Ltngdplev	Skillname389	par8																	1							0
plague poppy	1	1	3	1	2		Skillname223	Skillsd223	Skillld223	Skillan223																	1	StrSkill3				74	StrSkill54	StrSkill23	ast1		5	StrSkill21		clc3		13	StrSkill42		clc1		75	StrSkill8		pnma*edln/16	pxma*edln/16	9					5	ESkillVines		pets		18	StrSkill207														40	Sksyn	Skillname223	2		76	Alldplev	Skillname250	par8		76	Alldplev	Skillname239	par8		76	Alldplev	Skillname232	par8		76	Alldplev	Skillname242	par8		76	Hpplev	Skillname389	par2							5	ESkillVines		pets				0
wearwolf	2	1	1	2	20		Skillname224	Skillsd224	Skillld224	Skillan224																	1	StrSkill3				36	StrSkill20		len	25	4	StrSkill277		ast4		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	toht		74	StrSkill42	StrSkill23	ast5		74	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8		74	StrSkill4D	StrSkill23	ast1												40	Sksyn	Skillname224	2		76	Damplev	Skillname225	7		76	Hpplev	Skillname225	3		76	Damplev	Skillname229	par7		76	Defplev	Skillname229	par8												2	StrSkill21	StrSkill23	skill('Wearbear'.blvl)*par8				0
shape shifting	2	2	2	2	52		Skillname225	Skillsd225	Skillld225	Skillan225																	57	StrSkill20		ln12		74	StrSkill100	StrSkill23	pst1																						18	StrSkill284				18	StrSkill272																																																	18	StrSkill284						0
firestorm	3	5	3	3	32		Skillname226	Skillsd226	Skillld226	Skillan226	9																1	StrSkill3				27																									5	ESkillMiss		clc1																	40	Sksyn	Skillname226	2		76	Firedplev	Skillname245	par8		76	Firedplev	Skillname230	par8		76	Firedplev	Skillname240	par8		76	Firedplev	Skillname232	par8		76	Missplev3	Skillname230	5							5	ESkillMiss		clc1				0
oak sage	1	2	1	1	16		Skillname227	Skillsd227	Skillld227	Skillan227																	1	StrSkill3				19	StrSkill18		ln78		74	StrSkill42	StrSkill23	ln56		5	StrSkill21		clc3		13	StrSkill42		clc1							18	StrSkill233				74	StrSkill54	StrSkill23	ast1		5	ESkillSpirits		pets							40	Sksyn	Skillname227	2		71	Spiritplev	Skillname389	5		76	Hpplev	Skillname237	par1		76	Hpplev	Skillname247	par1																	18	StrSkill233						0
summon spirit wolf	1	2	2	1	6		Skillname228	Skillsd228	Skillld228	Skillan228																	1	StrSkill3				74	StrSkill54	StrSkill23	ast1		5	StrSkill208		clc4		9			pst2		5	StrSkill21		clc3		13	StrSkill42		clc1		5	ESkillWolves		min(6,1+(lvl-2)/2)+skill('Raven'.blvl)/3																	40	Sksyn	Skillname228	2		71	Wolfplev	Skillname222	3		76	Hpplev	Skillname238	par1		76	Defplev	Skillname238	par2		76	Damplev	Skillname238	par5		76	AttRateplev	Skillname238	par6							5	ESkillWolves		min(6,1+(lvl-2)/2)+skill('Raven'.blvl)/3				0
wearbear	2	1	3	2	22		Skillname229	Skillsd229	Skillld229	Skillan229																	1	StrSkill3				36	StrSkill20		len	25	4	StrSkill275		ast4		74	StrSkill21	StrSkill23	ast2		74	StrSkill4D	StrSkill23	ast1		74	StrSkill42	StrSkill23	ast5		74	StrSkill106	StrSkill23	ast3		74	StrSkill10	StrSkill23	ast6												40	Sksyn	Skillname229	2		76	Damplev	Skillname225	7		76	Hpplev	Skillname225	3		76	AttSpeedplev	Skillname224	par7		76	FRWplev	Skillname224	par7		76	AttRateplev	Skillname224	par8							2	StrSkill106	StrSkill23	ast3				0
molten boulder	3	3	3	3	34		Skillname230	Skillsd230	Skillld230	Skillan230	5													moltenboulderfirepath			1	StrSkill3				9					22					10																																			40	Sksyn	Skillname230	2		76	Alldplev	Skillname245	par8		76	Alldplev	Skillname226	par8		76	Alldplev	Skillname240	par8		76	Alldplev	Skillname232	par8																			0
arctic blast	3	1	2	3	36		Skillname231	Skillsd231	Skillld231	Skillan231	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		clc1/2		18	StrSkill213				11					26										5	StrSkill115		par3																	40	Sksyn	Skillname231	2		76	Alldplev	Skillname236	par8		76	Alldplev	Skillname251	par8		76	Alldplev	Skillname246	par8		76	Alldplev	Skillname387	par8		76	Alldplev	Skillname242	par8							5	StrSkill115		par3				0
cycle of life	1	3	3	1	8		Skillname232	Skillsd232	Skillld232	Skillan232	5													verruption center			1	StrSkill3				74	StrSkill54	StrSkill23	ast1		5	StrSkill21		clc3		13	StrSkill42		clc1		23	StrSkill20				10					5	ESkillVines		pets		18	StrSkill207														40	Sksyn	Skillname232	2		76	Firedplev	Skillname245	par8		76	Firedplev	Skillname230	par8		76	Firedplev	Skillname226	par8		76	Firedplev	Skillname223	par8		76	Firedplev	Skillname242	par8		76	Hpplev	Skillname389	par2		5	ESkillVines		pets				0
feral rage	2	3	1	2	54		Skillname233	Skillsd233	Skillld233	Skillan233	7	clc1											2				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1		52	EskillLifeSteal	StrSkill23	4	8+ast2	52	StrSkill89	StrSkill23	19	((110*(par8+lvl/par7)) * (par4-par3))/(100 * ((par8+lvl/par7)+6)) + par3											36	StrSkill20		len	25	1															40	Sksyn	Skillname233	2		76	Secplev1	Skillname225	1		76	Damplev	Skillname234	10		76	Damplev	Skillname239	10		76	Damplev	Skillname249	10												36	StrSkill20		len	25			0
maul	2	3	3	2	56		Skillname234	Skillsd234	Skillld234	Skillan234	1												2				74	StrSkill10	StrSkill23	toht		75	StrSkill4	StrSkill23	par3	par3*clc2	12	StrSkill48		ast2																	36	StrSkill20		len	25	1															40	Sksyn	Skillname234	2		76	Secplev1	Skillname225	1		76	Damplev	Skillname233	par1		76	Damplev	Skillname388	par1		76	Damplev	Skillname249	par1												36	StrSkill20		len	25			0
eruption	3	4	1	3	38		Skillname235	Skillsd235	Skillld235	Skillan235	5													erruption center			1	StrSkill3				74	Cgslow	StrSkill23	ast1		10																				23	StrSkill20																			40	Sksyn	Skillname235	2		76	Magdplev	Skillname391	par8		76	Magdplev	Skillname250	par8		76	Magdplev	Skillname241	par8		76	Magdplev	Skillname231	par8		76	Magdplev	Skillname246	par8		76	Magdplev	Skillname387	par8		23	StrSkill20						0
cyclone armor	3	1	1	3	40		Skillname236	Skillsd236	Skillld236	Skillan236																	1	StrSkill3				5	StrSkill153		edmn		3	StrSkill40	StrSkill41	ast1/256																																					40	Sksyn	Skillname236	2		76	Damabsplev	Skillname251	par8		76	Damabsplev	Skillname246	par8																													0
heart of wolverine	1	4	1	1	10		Skillname237	Skillsd237	Skillld237	Skillan237																	1	StrSkill3				19	StrSkill18		ln78		74	StrSkill10	StrSkill23	ln56		74	StrSkill4D	StrSkill23	ln56		5	StrSkill21		clc3		13	StrSkill42		clc1		18	StrSkill233				74	StrSkill54	StrSkill23	ast1		5	ESkillSpirits		pets							40	Sksyn	Skillname237	2		71	Spiritplev	Skillname389	5		76	Hpplev	Skillname227	par1		76	Hpplev	Skillname247	par1																	18	StrSkill233						0
summon fenris	1	4	2	1	12		Skillname238	Skillsd238	Skillld238	Skillan238																	1	StrSkill3				74	StrSkill54	StrSkill23	ast1		5	StrSkill208		clc4		9			pst2		5	StrSkill21		clc3		13	StrSkill42		clc1		5	ESkillWolves		min(3,1+(lvl-2)/2)+skill('Raven'.blvl)/6																	40	Sksyn	Skillname238	2		71	Wolfplev	Skillname222	6		76	Hpplev	Skillname228	par1		76	Defplev	Skillname228	par2		76	Damplev	Skillname228	par5		76	AttRateplev	Skillname228	par6							5	ESkillWolves		min(3,1+(lvl-2)/2)+skill('Raven'.blvl)/6				0
rabies	2	5	1	2	24		Skillname239	Skillsd239	Skillld239	Skillan239	23												2				75	StrSkill8		pnma*edln/16	pxma*edln/16	74	StrSkill10	StrSkill23	toht																						1	StrSkill3																			40	Sksyn	Skillname239	2		76	Poisdplev	Skillname223	par8		76	Poisdplev	Skillname233	par7		76	Poisdplev	Skillname388	par7		76	Poisdplev	Skillname240	par7		76	Poisdplev	Skillname249	par7		76	Poisdplev	Skillname390	par7		1							0
fire claws	2	4	2	2	26		Skillname240	Skillsd240	Skillld240	Skillan240	5												1				74	StrSkill10	StrSkill23	toht		10																									1	StrSkill3																			40	Sksyn	Skillname240	2		76	Firedplev	Skillname245	par8		76	Firedplev	Skillname230	par8		76	Firedplev	Skillname226	par8		76	Firedplev	Skillname388	par8		76	Firedplev	Skillname390	par8							1							0
twister	3	6	1	3	42		Skillname241	Skillsd241	Skillld241	Skillan241	5																1	StrSkill3				10					5	ESkillMiss		clc1																						12	StrSkill48		par2												40	Sksyn	Skillname241	2		76	Magdplev	Skillname391	par8		76	Magdplev	Skillname235	par8		76	Magdplev	Skillname250	par8		76	Magdplev	Skillname231	par8		76	Magdplev	Skillname246	par8		76	Magdplev	Skillname387	par8									0
vines	1	5	3	1	14		Skillname242	Skillsd242	Skillld242	Skillan242	5																1	StrSkill3				74	StrSkill54	StrSkill23	ast1		5	StrSkill21		clc3		13	StrSkill42		clc1		11					10					5	ESkillVines		pets		18	StrSkill207														40	Sksyn	Skillname242	2		76	Colddplev	Skillname231	par8		76	Colddplev	Skillname251	par8		76	Colddplev	Skillname223	par8		76	Colddplev	Skillname232	par8		76	Hpplev	Skillname389	par2							5	ESkillVines		pets				0
hunger	2	5	2	2	58		Skillname243	Skillsd243	Skillld243	Skillan243	14												1				74	StrSkill10	StrSkill23	toht		74	EskillManaSteal	StrSkill23	clc3		74	EskillLifeSteal	StrSkill23	clc2																	1	StrSkill3				74	StrSkill4D	StrSkill23	clc1																																															1							0
shock wave	2	5	3	2	28		Skillname244	Skillsd244	Skillld244	Skillan244	5																1	StrSkill3				10					9					12	StrSkill48		ln12												5	ESkillMiss		clc1																	40	Sksyn	Skillname244	2		76	Damplev	Skillname234	par8																											5	ESkillMiss		clc1				0
volcano	3	1	3	3	44		Skillname245	Skillsd245	Skillld245	Skillan245	5																1	StrSkill3				9					10																																								40	Sksyn	Skillname245	2		76	Alldplev	Skillname230	par8		76	Alldplev	Skillname226	par8		76	Alldplev	Skillname240	par8		76	Alldplev	Skillname232	par8																			0
tornado	3	4	2	3	46		Skillname246	Skillsd246	Skillld246	Skillan246	5																1	StrSkill3				9																									5	ESkillMiss		clc1		18	StrSkill164														40	Sksyn	Skillname246	2		76	Damplev	Skillname236	par8		76	Damplev	Skillname231	par8		76	Damplev	Skillname251	par8		76	Damplev	Skillname387	par8												5	ESkillMiss		clc1				0
spirit of barbs	1	6	1	1	4		Skillname247	Skillsd247	Skillld247	Skillan247																	1	StrSkill3				19	StrSkill18		ln78		74	StrSkill55		ln56		5	StrSkill21		clc3		13	StrSkill42		clc1							18	StrSkill233				74	StrSkill54	StrSkill23	ast1		5	ESkillSpirits		pets							40	Sksyn	Skillname247	2		71	Spiritplev	Skillname389	5		76	Hpplev	Skillname227	par1		76	Hpplev	Skillname237	par1																	18	StrSkill233						0
summon grizzly	1	6	2	1	18		Skillname248	Skillsd248	Skillld248	Skillan248																	1	StrSkill3				74	StrSkill54	StrSkill23	ast1		5	StrSkill208		clc4		9			pst2		5	StrSkill21		clc3		13	StrSkill42		clc1		5	ESkillGrizz		pets		18	StrSkill225																																																	5	ESkillGrizz		pets				0
fury	2	6	1	2	30		Skillname249	Skillsd249	Skillld249	Skillan249	7	clc2											2				74	StrSkill4	StrSkill23	clc2		74	StrSkill10	StrSkill23	toht		74	StrSkill11		clc1																	1	StrSkill3																			40	Sksyn	Skillname249	2		76	Damplev	Skillname233	par8		76	Damplev	Skillname234	par8		76	Damplev	Skillname239	par8																	1							0
armageddon	3	5	1	3	50		Skillname250	Skillsd250	Skillld250	Skillan250	5													armageddonfire			1	StrSkill3				36	StrSkill20		len	25	10					22															36	StrSkill18		rng																	40	Sksyn	Skillname250	2		76	Alldplev	Skillname391	par8		76	Alldplev	Skillname235	par8		76	Alldplev	Skillname241	par8		76	Alldplev	Skillname231	par8		76	Alldplev	Skillname246	par8		76	Alldplev	Skillname387	par8		19	StrSkill18		rng				0
hurricane	3	2	2	3	48		Skillname251	Skillsd251	Skillld251	Skillan251	5																1	StrSkill3				36	StrSkill20		len	25	11					10															36	StrSkill18		rng		18	StrSkill245														40	Sksyn	Skillname251	2		76	Colddplev	Skillname236	par8		76	Colddplev	Skillname231	par8		76	Colddplev	Skillname246	par8		76	Colddplev	Skillname387	par8		76	Colddplev	Skillname242	par8		76	Secplev1	Skillname236	1		19	StrSkill18		rng				0
fire trauma	1	1	2	1	0		Skillname252	Skillsd252	Skillld252	Skillan252	5																1	StrSkill3				36	StrSkill13		edln	25	75	StrSkill6		edmn	edmx																36	StrSkill18		rng	1	18	StrSkill292														40	Sksyn	Skillname252	2		76	Colddplev	Skillname395	par8		76	Colddplev	Skillname396	par8		76	Colddplev	Skillname257	par7		76	Colddplev	Skillname262	par7		76	Colddplev	Skillname272	par7		76	Colddplev	Skillname273	par7		19	StrSkill18		rng				0
claw mastery	2	1	1	2	20		Skillname253	Skillsd253	Skillld253	Skillan253																	51	eskillincasemasteryX		macr		74	StrSkill10	StrSkill23	pst1		74	StrSkill4D	StrSkill23	madm																																																																															0
psychic hammer	2	4	2	2	22		Skillname254	Skillsd254	Skillld254	Skillan254	5																1	StrSkill3				74	StrSkill212	StrSkill23	clc3		74	StrSkill211	StrSkill23	clc2		74	StrSkill210	StrSkill23	clc1		75	StrSkill39		edmn	edmx	75	StrSkill4		pnma	pxma																					40	Sksyn	Skillname254	2		76	Damplev	Skillname265	par8		76	Damplev	Skillname274	par8		76	Magdplev	Skillname265	par8		76	Magdplev	Skillname274	par8																			0
tiger strike	3	1	3	3	40		Skillname255	Skillsd255	Skillld255	Skillan255	5												2				74	StrSkill10	StrSkill23	toht		2	Eskillpowerup3	Eskillpuddgmper	3*clc1		2	Eskillpowerup2	Eskillpuddgmper	2*clc1		2	Eskillpowerup1	Eskillpuddgmper	clc1												1	StrSkill3				36	StrSkill20		len	25											40	Sksyn	Skillname255	2		76	Damplev	Skillname261	par8		76	Damplev	Skillname256	par8		76	Damplev	Skillname271	par8		76	Damplev	Skillname276	par8		76	Damplev	Skillname394	par8							1							0
dragon talon	3	1	1	3	42		Skillname256	Skillsd256	Skillld256	Skillan256	15												5				74	StrSkill10	StrSkill23	toht		74	Eskillkickdamage	StrSkill23	ln12																						1	StrSkill3				36	EskillKickSing	EskillKickPlur	clc1																																															1							0
shock field	1	1	3	1	2		Skillname257	Skillsd257	Skillld257	Skillan257	5													shock field on ground			1	StrSkill3				36	StrSkill18		rng*2	3	75	StrSkill7		edmn	edmx	74	ESkillSpikes		par1+lvl/par2+skill('Fire Trauma'.blvl)												36	StrSkill20		90	25																40	Sksyn	Skillname257	2		76	Ltngdplev	Skillname262	par8		76	Ltngdplev	Skillname272	par8		76	Ltngdplev	Skillname273	par8		76	Ltngdplev	Skillname252	par7		76	Ltngdplev	Skillname395	par7		76	Ltngdplev	Skillname396	par7		23	StrSkill20						0
blade sentinel	1	3	1	1	4		Skillname258	Skillsd258	Skillld258	Skillan258	5																1	StrSkill3				36	StrSkill20		clc4	25	75	StrSkill4		pnma	pxma																5	ESkillMiss		pets		74	WeapDamsk		37.5												40	Sksyn	Skillname258	2		77	Missplev3	Skillname278	1	4	15	Skillname278	StrSkill246			76	Damplev	Skillname278	par8		76	Damplev	Skillname267	par8		76	Damplev	Skillname252	par8		76	Damplev	Skillname257	par8		5	ESkillMiss		pets				0
quickness	2	2	1	2	36		Skillname259	Skillsd259	Skillld259	Skillan259																	1	StrSkill3				36	StrSkill20		len	25	74	StrSkill89	StrSkill23	ast1		74	StrSkill106	StrSkill23	ast2																																40	Sksyn	Skillname259	2		76	Secplev2	Skillname268	par6/25		76	Secplev2	Skillname279	par6/25		76	Secplev2	Skillname392	par6/25																								0
fists of fire	3	2	3	3	44		Skillname260	Skillsd260	Skillld260	Skillan260	20			fire	enma	exma	fire	enma	exma	fire	enma+m1eo*50/256	exma+m1ey*50/256	2	fistsoffirefirewall			1	StrSkill3				74	StrSkill10	StrSkill23	toht		75	Eskillfistsoffire3		m1eo*50/256	m1ey*50/256	36	Eskillfistsoffire2		par1*2	3	75	Eskillfistsoffire1		edmn	edmx						36	StrSkill20		len	25																40	Sksyn	Skillname260	2		76	Firedplev	Skillname270	par8		76	Firedplev	Skillname275	par8		76	Firedplev	Skillname281	par8		76	Firedplev	Skillname261	par8		76	Firedplev	Skillname256	par8		76	Firedplev	Skillname276	par8		36	StrSkill20		len	25			0
dragon claw	3	1	2	3	46		Skillname261	Skillsd261	Skillld261	Skillan261	19	clc1											2				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc1																						1	StrSkill3																			40	Sksyn	Skillname261	2		76	Damplev	Skillname256	par8		76	Damplev	Skillname271	par8		76	Damplev	Skillname276	par8		76	Damplev	Skillname264	par8		76	Damplev	Skillname255	par8		76	Damplev	Skillname281	par8		1							0
charged bolt sentry	1	2	3	1	8		Skillname262	Skillsd262	Skillld262	Skillan262	5																1	StrSkill3				75	StrSkill5		edmn	edmx	74	StrSkill72b		min(ln12,30)																	74	ESkillShoots		clc4		5	StrSkill216		pets		18	StrSkill293									40	Sksyn	Skillname262	2		76	Firedplev	Skillname257	par8		76	Firedplev	Skillname272	par8		76	Firedplev	Skillname273	par8		76	Firedplev	Skillname252	par7		76	Firedplev	Skillname395	par7		76	Firedplev	Skillname396	par7		3	ESkillShoots	ESkillTimes	clc4				0
wake of fire sentry	2	2	3	2	72		Skillname263	Skillsd263	Skillld263	Skillan263	5																74	StrSkill289	StrSkill23	pst1																											74	StrSkill290		pst2		18	StrSkill288																																																	4	StrSkill290		pst2				0
weapon block	2	1	3	2	26		Skillname264	Skillsd264	Skillld264	Skillan264																	74	StrSkill24		pst1																																																																																									0
cloak of shadows	2	1	2	2	24		Skillname265	Skillsd265	Skillld265	Skillan265																	36	StrSkill20		len	25	74	StrSkill21	StrSkill23	ast1																						1	StrSkill3				74	StrSkill151	StrSkill23	ast2		36	StrSkill18		rng*2	3						40	Sksyn	Skillname265	2		76	PhysResplev	Skillname254	-2		76	PhysResplev	Skillname274	-2																						1							0
cobra strike	3	4	2	3	70		Skillname266	Skillsd266	Skillld266	Skillan266	7	clc2											2				74	StrSkill10	StrSkill23	toht		74	StrSkill4D	StrSkill23	clc2																						1	StrSkill3				74	StrSkill11		clc1												40	Sksyn	Skillname266	2		76	Damplev	Skillname394	par8		76	Damplev	Skillname393	par8		76	Damplev	Skillname278	par8		76	Damplev	Skillname258	par8												1							0
blade fury	1	5	1	1	10		Skillname267	Skillsd267	Skillld267	Skillan267	5																61	StrSkill3	EskillPerBlade2	usmc	10	36	StrSkill63		edln	25	75	StrSkill8		edns*edln/256	edxs*edln/256																74	StrSkill115		par3		74	WeapDamsk		50												40	Sksyn	Skillname267	2		76	Poisdplev	Skillname278	par8		76	Poisdplev	Skillname258	par8		76	Poisdplev	Skillname252	par8		76	Poisdplev	Skillname257	par8		76	Poisdplev	Skillname279	par8							5	StrSkill115		par3				0
fade	2	4	1	2	30		Skillname268	Skillsd268	Skillld268	Skillan268																	1	StrSkill3				36	StrSkill20		len	25	74	StrSkill85	StrSkill23	ast5		74	StrSkillRD	StrSkill23	ast6		74	StrSkill54	StrSkill23	ast1																											40	Sksyn	Skillname268	2		76	Secplev2	Skillname259	par6/25		76	Secplev2	Skillname279	par6/25		76	Secplev2	Skillname392	par6/25																								0
shadow warrior	2	3	3	2	38		Skillname269	Skillsd269	Skillld269	Skillan269																	1	StrSkill3				74	StrSkill54	StrSkill23	pst1		4	StrSkill208		ast1		74	StrSkill4D	StrSkill23	ast3		74	StrSkill31	StrSkill23	ast2		13	StrSkill42		(lvl-1)*par1		5	StrSkill156		min(ln56-par6,99)		18	StrSkill157				5	ESkillShadow		pets							40	Sksyn	Skillname269	2		76	Defplev	Skillname280	par3		76	AttRateFlatplev	Skillname280	par2		74	SMStrDexBonus		10		76	CBplev	Skillname263	1		76	StrSkill249	Skillname263	2		71	Skillname263	Warrplev	15		5	StrSkill156		min(ln56-par6,99)				0
claws of thunder	3	4	3	3	58		Skillname270	Skillsd270	Skillld270	Skillan270	20			ltng	enma	exma	ltng	enma+m2en	exma+m2ex	ltng	enma+m2en+m3en	exma+m2ex+m3ex	2		clawsofthundernova	clawsofthunderbolt	1	StrSkill3				74	StrSkill10	StrSkill23	toht		75	Eskillthunder3		m3en	m3ex	75	Eskillthunder2		m2en	m2ex	75	Eskillthunder1		edmn	edmx						36	StrSkill20		len	25																40	Sksyn	Skillname270	2		76	Ltngdplev	Skillname260	par8		76	Ltngdplev	Skillname275	par8		76	Ltngdplev	Skillname281	par8		76	Ltngdplev	Skillname261	par8		76	Ltngdplev	Skillname256	par8		76	Ltngdplev	Skillname276	par8		36	StrSkill20		len	25			0
dragon tail	3	4	1	3	48		Skillname271	Skillsd271	Skillld271	Skillan271	16												5				1	StrSkill3				74	StrSkill10	StrSkill23	toht		74	StrSkill5D	StrSkill23	clc1																	36	StrSkill18		rng*2	3																																																			19	StrSkill18		rng				0
lightning sentry	1	4	3	1	12		Skillname272	Skillsd272	Skillld272	Skillan272	5																1	StrSkill3				75	StrSkill7		edmn	edmx																					74	ESkillShoots		par1		5	StrSkill216		pets		18	StrSkill293									40	Sksyn	Skillname272	2		76	Ltngdplev	Skillname257	par8		76	Ltngdplev	Skillname262	par8		76	Ltngdplev	Skillname273	par8		76	Ltngdplev	Skillname252	par7		76	Ltngdplev	Skillname395	par7		76	Ltngdplev	Skillname396	par7		3	ESkillShoots	ESkillTimes	par1				0
inferno sentry	1	5	3	1	14		Skillname273	Skillsd273	Skillld273	Skillan273	5																1	StrSkill3				75	StrSkill5		edmn	edmx																					74	ESkillShoots		par1		5	StrSkill216		pets		18	StrSkill293									40	Sksyn	Skillname273	2		76	Firedplev	Skillname257	par8		76	Firedplev	Skillname262	par8		76	Firedplev	Skillname272	par8		76	Firedplev	Skillname252	par7		76	Firedplev	Skillname395	par7		76	Firedplev	Skillname396	par7		3	ESkillShoots	ESkillTimes	par1				0
mind blast	2	6	2	2	34		Skillname274	Skillsd274	Skillld274	Skillan274	5																74	StrSkill99	StrSkill23	dm56		36	StrSkill48		ln12	25	75	StrSkill4		pnma	pxma																1	StrSkill3				36	StrSkill20		par3	par3+par4	36	StrSkill56		rng*2	3						40	Sksyn	Skillname274	2		76	Damplev	Skillname265	par8		76	Damplev	Skillname254	par8		71	Skillname265	Rangpxlev	10		71	Skillname254	Rangpxlev	10												1							0
blades of ice	3	5	3	3	52		Skillname275	Skillsd275	Skillld275	Skillan275	20			cold	enma	exma	cold	enma	exma	cold	enma	exma	2				1	StrSkill3				74	StrSkill10	StrSkill23	toht		36	Eskillbladesofice3		edln	25	36	Eskillbladesofice2		par1*2	3	75	Eskillbladesofice1		edmn	edmx						36	StrSkill20		len	25																40	Sksyn	Skillname275	2		76	Colddplev	Skillname260	par8		76	Colddplev	Skillname270	par8		76	Colddplev	Skillname281	par8		76	Colddplev	Skillname261	par8		76	Colddplev	Skillname256	par8		76	Colddplev	Skillname276	par8		36	StrSkill20		len	25			0
